"run_id","n_groups","group_match","value_match","output_path"
1,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00001.rds"
16,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00016.rds"
31,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00031.rds"
151,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00151.rds"
274,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00274.rds"
271,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00271.rds"
275,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00275.rds"
272,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00272.rds"
273,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00273.rds"
276,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00276.rds"
3,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00003.rds"
2,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00002.rds"
137,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00137.rds"
136,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00136.rds"
139,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00139.rds"
138,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00138.rds"
278,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00278.rds"
277,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00277.rds"
280,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00280.rds"
279,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00279.rds"
4,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00004.rds"
5,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00005.rds"
7,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00007.rds"
6,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00006.rds"
9,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00009.rds"
8,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00008.rds"
11,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00011.rds"
10,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00010.rds"
13,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00013.rds"
12,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00012.rds"
15,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00015.rds"
14,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00014.rds"
17,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00017.rds"
18,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00018.rds"
19,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00019.rds"
20,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00020.rds"
21,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00021.rds"
22,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00022.rds"
23,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00023.rds"
24,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00024.rds"
25,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00025.rds"
26,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00026.rds"
27,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00027.rds"
28,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00028.rds"
29,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00029.rds"
30,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00030.rds"
33,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00033.rds"
32,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00032.rds"
35,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00035.rds"
34,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00034.rds"
37,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00037.rds"
36,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00036.rds"
39,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00039.rds"
38,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00038.rds"
41,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00041.rds"
40,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00040.rds"
43,5,TRUE,TRUE,"data/simulated/ground_truth/splatter/splatter_truth_run_00043.rds"
